Phi,Theta,E_deloc
20,340,2.9800020884520837
20,350,2.307544556102385
25,0,1.9887692309912308
25,10,1.915050163827451
25,20,2.4371354555351448
25,30,3.497538881049965
25,40,4.833375647756505
25,50,6.22804558733392
25,60,7.398893420758577
25,70,8.24659344623015
25,80,8.657914677070787
25,90,8.692016277339027
25,100,8.405612698267047
25,110,7.938974666562732
25,120,7.397610039455149
25,130,6.738944213484414
25,140,5.7493966570140795
25,150,4.072015338446127
25,160,2.100935397950139
25,170,0.9943595465050898
25,180,1.2495271708014852
25,190,2.2146565950961836
25,200,3.32679895323708
25,210,4.277233183604253
25,220,5.018364610750495
25,230,5.672934748054108
25,240,6.282775039707168
25,250,6.883901616378453
25,260,7.34256727164173
25,270,7.588826778070203
25,280,7.530035899258151
25,290,7.163671923179054
25,300,6.525845420178165
25,310,5.6850444166545975
25,320,4.799352988227317
25,330,3.9234279843329265
25,340,3.1563109075554063
25,350,2.4639986766390707
30,0,2.1077257355755843
30,10,1.9636570737818766
30,20,2.462763550666924
30,30,3.5798359333498606
30,40,5.023585360076891
30,50,6.516571025413741
30,60,7.738292268094284
30,70,8.568529973300912
30,80,8.922774052405382
30,90,8.884473538617772
30,100,8.545954270248632
30,110,8.068661888892454
30,120,7.570718876581814
30,130,6.98662596914451
30,140,6.016817712300525
30,150,4.209376054473764
30,160,2.0547496059912738
30,170,1.0220596761294838
30,180,1.492527960147435
30,190,2.547098626631563
30,200,3.6133026827136177
30,210,4.45637589598137
30,220,5.087067684549635
30,230,5.651388285279678
30,240,6.200857755889953
30,250,6.775570282300686
30,260,7.23997067952692
30,270,7.518452585005183
30,280,7.502116831519326
30,290,7.1839158027638295
30,300,6.598189991496783
30,310,5.8064259925850115
30,320,4.962617526893128
30,330,4.115673147672508
30,340,3.3583731353537503
30,350,2.6414302348712084
